source,target
삼성SDI의 3월 4일에 대한 뉴스 내용을 보여줘,"SELECT title, link, description FROM 삼성SDI WHERE MONTH(pubdate) = 3 AND DAY(pubdate) = 4"
삼성전자우의 8월 1일에 대한 뉴스 내용을 보여줘,"SELECT title, link, description FROM 삼성전자우 WHERE MONTH(pubdate) = 8 AND DAY(pubdate) = 1"
포스코퓨처엠의 최신 소식을 알려줘,"SELECT title, link, description, pubdate FROM 포스코퓨처엠 ORDER BY pubdate DESC LIMIT 1"
HLB에서 6월 11일에 발표한 뉴스가 뭐야?,"SELECT title, link, description FROM HLB WHERE MONTH(pubdate) = 6 AND DAY(pubdate) = 11"
네이버의 최근 28일 간의 뉴스를 요약해줘,"SELECT title, link ,description FROM 네이버 ORDER BY pubdate DESC LIMIT 28"
삼성전자우의 지난 13일 동안의 뉴스를 요약해줘,"SELECT title, link ,description FROM 삼성전자우 ORDER BY pubdate DESC LIMIT 13"
포스코퓨처엠의 11월 11일에 대한 뉴스 내용을 보여줘,"SELECT title, link, description FROM 포스코퓨처엠 WHERE MONTH(pubdate) = 11 AND DAY(pubdate) = 11"
포스코퓨처엠에서 11월 6일에 발표한 뉴스가 뭐야?,"SELECT title, link, description FROM 포스코퓨처엠 WHERE MONTH(pubdate) = 11 AND DAY(pubdate) = 6"
LG에너지솔루션 뉴스의 최근 제목 28개를 알려줘,"SELECT title, description FROM LG에너지솔루션 ORDER BY pubdate DESC LIMIT 28"
엘앤에프에서 6월 27일에 발표한 뉴스가 뭐야?,"SELECT title, link, description FROM 엘앤에프 WHERE MONTH(pubdate) = 6 AND DAY(pubdate) = 27"
네이버 관련 최근 뉴스를 알려줘,"SELECT title, link, description, pubdate FROM 네이버 ORDER BY pubdate DESC LIMIT 1"
카카오에서 8월 13일에 발표한 뉴스가 뭐야?,"SELECT title, link, description FROM 카카오 WHERE MONTH(pubdate) = 8 AND DAY(pubdate) = 13"
JYP 11월 24일의 뉴스 링크를 알려줘,"SELECT title, link, description FROM JYP WHERE MONTH(pubdate) = 11 AND DAY(pubdate) = 24"
애플 관련 최근 뉴스를 알려줘,"SELECT title, link, description, pubdate FROM 애플 ORDER BY pubdate DESC LIMIT 1"
펄어비스의 최근 22일 간의 뉴스를 요약해줘,"SELECT title, link ,description FROM 펄어비스 ORDER BY pubdate DESC LIMIT 22"
삼성바이오로직스 관련 최근 뉴스를 알려줘,"SELECT title, link, description, pubdate FROM 삼성바이오로직스 ORDER BY pubdate DESC LIMIT 1"
에코프로의 지난 21일 간의 뉴스를 요약해줘,"SELECT title, link ,description FROM 에코프로 ORDER BY pubdate DESC LIMIT 21"
JYP 4월 13일의 뉴스 링크를 알려줘,"SELECT title, link, description FROM JYP WHERE MONTH(pubdate) = 4 AND DAY(pubdate) = 13"
엘앤에프에서 7월 28일에 발표한 뉴스가 뭐야?,"SELECT title, link, description FROM 엘앤에프 WHERE MONTH(pubdate) = 7 AND DAY(pubdate) = 28"
LG에너지솔루션의 최신 뉴스 29개를 요약해줘,"SELECT title, description FROM LG에너지솔루션 ORDER BY pubdate DESC LIMIT 29"
현대차의 최근 15일 간의 뉴스를 요약해줘,"SELECT title, link ,description FROM 현대차 ORDER BY pubdate DESC LIMIT 15"
에코프로비엠 뉴스의 최근 제목 7개를 알려줘,"SELECT title, description FROM 에코프로비엠 ORDER BY pubdate DESC LIMIT 7"
삼성전자우의 5월 19일에 대한 뉴스 내용을 보여줘,"SELECT title, link, description FROM 삼성전자우 WHERE MONTH(pubdate) = 5 AND DAY(pubdate) = 19"
포스코퓨처엠의 지난 17일 동안의 뉴스를 요약해줘,"SELECT title, link ,description FROM 포스코퓨처엠 ORDER BY pubdate DESC LIMIT 17"
셀트리온헬스케어에 대한 7월 24일의 뉴스 제목을 알려줘,"SELECT title, link, description FROM 셀트리온헬스케어 WHERE MONTH(pubdate) = 7 AND DAY(pubdate) = 24"
카카오의 2월 8일에 대한 뉴스 내용을 보여줘,"SELECT title, link, description FROM 카카오 WHERE MONTH(pubdate) = 2 AND DAY(pubdate) = 8"
SK하이닉스에서 9월 24일에 발표한 뉴스가 뭐야?,"SELECT title, link, description FROM SK하이닉스 WHERE MONTH(pubdate) = 9 AND DAY(pubdate) = 24"
JYP의 지난 10일 간의 뉴스를 요약해줘,"SELECT title, link ,description FROM JYP ORDER BY pubdate DESC LIMIT 10"
HLB의 최신 소식을 알려줘,"SELECT title, link, description, pubdate FROM HLB ORDER BY pubdate DESC LIMIT 1"
포스코DX의 최신 소식을 알려줘,"SELECT title, link, description, pubdate FROM 포스코DX ORDER BY pubdate DESC LIMIT 1"
포스코퓨처엠의 최근 1일 간의 뉴스를 요약해줘,"SELECT title, link ,description FROM 포스코퓨처엠 ORDER BY pubdate DESC LIMIT 1"
포스코DX 관련 최근 뉴스를 알려줘,"SELECT title, link, description, pubdate FROM 포스코DX ORDER BY pubdate DESC LIMIT 1"
삼성전자의 최신 소식을 알려줘,"SELECT title, link, description, pubdate FROM 삼성전자 ORDER BY pubdate DESC LIMIT 1"
애플의 최신 뉴스 링크를 보여줘,"SELECT title, link, description, pubdate FROM 애플 ORDER BY pubdate DESC LIMIT 1"
JYP에서 6월 19일에 발표한 뉴스가 뭐야?,"SELECT title, link, description FROM JYP WHERE MONTH(pubdate) = 6 AND DAY(pubdate) = 19"
HLB의 최신 뉴스 20개를 요약해줘,"SELECT title, description FROM HLB ORDER BY pubdate DESC LIMIT 20"
JYP의 최신 뉴스 링크를 보여줘,"SELECT title, link, description, pubdate FROM JYP ORDER BY pubdate DESC LIMIT 1"
에코프로비엠의 최근 소식을 알려줘,"SELECT title, link, description, pubdate FROM 에코프로비엠 ORDER BY pubdate DESC LIMIT 1"
LG에너지솔루션 관련 최근 뉴스를 알려줘,"SELECT title, link, description, pubdate FROM LG에너지솔루션 ORDER BY pubdate DESC LIMIT 1"
포스코퓨처엠의 15일 전 뉴스 제목을 알려줘,"SELECT title, description FROM 포스코퓨처엠 WHERE pubdate = NOW() - INTERVAL 15 DAY"
셀트리온제약 뉴스의 최근 제목 15개를 알려줘,"SELECT title, description FROM 셀트리온제약 ORDER BY pubdate DESC LIMIT 15"
펄어비스 뉴스의 최근 제목 15개를 알려줘,"SELECT title, description FROM 펄어비스 ORDER BY pubdate DESC LIMIT 15"
네이버의 1월 20일에 대한 뉴스 내용을 보여줘,"SELECT title, link, description FROM 네이버 WHERE MONTH(pubdate) = 1 AND DAY(pubdate) = 20"
HLB의 지난 1일 동안의 뉴스를 요약해줘,"SELECT title, link ,description FROM HLB ORDER BY pubdate DESC LIMIT 1"
삼성전자우에 대한 7월 12일의 뉴스 제목을 알려줘,"SELECT title, link, description FROM 삼성전자우 WHERE MONTH(pubdate) = 7 AND DAY(pubdate) = 12"
JYP의 최신 뉴스 20개를 요약해줘,"SELECT title, description FROM JYP ORDER BY pubdate DESC LIMIT 20"
삼성전자우에서 12월 5일에 발표한 뉴스가 뭐야?,"SELECT title, link, description FROM 삼성전자우 WHERE MONTH(pubdate) = 12 AND DAY(pubdate) = 5"
애플의 최근 28일 간의 뉴스를 요약해줘,"SELECT title, link ,description FROM 애플 ORDER BY pubdate DESC LIMIT 28"
셀트리온제약 2월 11일의 뉴스 링크를 알려줘,"SELECT title, link, description FROM 셀트리온제약 WHERE MONTH(pubdate) = 2 AND DAY(pubdate) = 11"
애플 8월 2일의 뉴스 링크를 알려줘,"SELECT title, link, description FROM 애플 WHERE MONTH(pubdate) = 8 AND DAY(pubdate) = 2"
현대차의 최신 뉴스 링크를 보여줘,"SELECT title, link, description, pubdate FROM 현대차 ORDER BY pubdate DESC LIMIT 1"
LG에너지솔루션 뉴스의 최근 제목 21개를 알려줘,"SELECT title, description FROM LG에너지솔루션 ORDER BY pubdate DESC LIMIT 21"
삼성바이오로직스의 최신 소식을 알려줘,"SELECT title, link, description, pubdate FROM 삼성바이오로직스 ORDER BY pubdate DESC LIMIT 1"
HLB에서 5월 10일에 발표한 뉴스가 뭐야?,"SELECT title, link, description FROM HLB WHERE MONTH(pubdate) = 5 AND DAY(pubdate) = 10"
에코프로에서 10월 9일에 발표한 뉴스가 뭐야?,"SELECT title, link, description FROM 에코프로 WHERE MONTH(pubdate) = 10 AND DAY(pubdate) = 9"
삼성전자에서 6월 18일에 발표한 뉴스가 뭐야?,"SELECT title, link, description FROM 삼성전자 WHERE MONTH(pubdate) = 6 AND DAY(pubdate) = 18"
현대차 2월 20일의 뉴스 링크를 알려줘,"SELECT title, link, description FROM 현대차 WHERE MONTH(pubdate) = 2 AND DAY(pubdate) = 20"
삼성전자의 9월 25일에 대한 뉴스 내용을 보여줘,"SELECT title, link, description FROM 삼성전자 WHERE MONTH(pubdate) = 9 AND DAY(pubdate) = 25"
펄어비스의 1월 12일에 대한 뉴스 내용을 보여줘,"SELECT title, link, description FROM 펄어비스 WHERE MONTH(pubdate) = 1 AND DAY(pubdate) = 12"
포스코DX 관련 최근 뉴스를 알려줘,"SELECT title, link, description, pubdate FROM 포스코DX ORDER BY pubdate DESC LIMIT 1"
삼성전자우의 10일 전 뉴스 제목을 알려줘,"SELECT title, description FROM 삼성전자우 WHERE pubdate = NOW() - INTERVAL 10 DAY"
