source,target
HLB 뉴스의 최근 제목 1개를 알려줘,"SELECT Company, Title, Link, Description, Pubdate FROM NaverNews WHERE (Company = 'HLB') order by Pubdate DESC LIMIT 1"
삼성전자의 4일 전 뉴스 제목을 알려줘,"SELECT Title, Description FROM NaverNews WHERE (Company = '삼성전자') AND DATE(Pubdate) = DATE(NOW() - INTERVAL 3 DAY)"
애플의 최근 6일 간의 뉴스를 요약해줘,"SELECT Company, Title, Link, Description, Pubdate FROM NaverNews WHERE (Company = '애플') order by Pubdate DESC LIMIT 6"
에코프로비엠 뉴스의 최근 제목 4개를 알려줘,"SELECT Company, Title, Link, Description, Pubdate FROM NaverNews WHERE (Company = '에코프로비엠') order by Pubdate DESC LIMIT 4"
삼성바이오로직스의 10월 23일에 대한 뉴스 내용을 보여줘,"SELECT Title, Link, Description, Pubdate FROM NaverNews WHERE (Company = '삼성바이오로직스')  YEAR(Pubdate) = 2023 AND MONTH(Pubdate) = 10 AND DAY(Pubdate) = 23"
엘앤에프 관련 최근 뉴스를 알려줘,"SELECT Company, Title, Link, Description, Pubdate FROM NaverNews WHERE (Company = '엘앤에프') order by Pubdate DESC LIMIT 1"
삼성SDI의 최근 4일 간의 뉴스를 요약해줘,"SELECT Company, Title, Link, Description, Pubdate FROM NaverNews WHERE (Company = '삼성SDI') order by Pubdate DESC LIMIT 4"
엘앤에프에서 8월 4일에 발표한 뉴스가 뭐야?,"SELECT Title, Link, Description, Pubdate FROM NaverNews WHERE (Company = '엘앤에프')  YEAR(Pubdate) = 2023 AND MONTH(Pubdate) = 8 AND DAY(Pubdate) = 4"
포스코DX의 6월 16일에 대한 뉴스 내용을 보여줘,"SELECT Title, Link, Description, Pubdate FROM NaverNews WHERE (Company = '포스코DX')  YEAR(Pubdate) = 2023 AND MONTH(Pubdate) = 6 AND DAY(Pubdate) = 16"
카카오에 대한 8월 5일의 뉴스 제목을 알려줘,"SELECT Title, Link, Description, Pubdate FROM NaverNews WHERE (Company = '카카오')  YEAR(Pubdate) = 2023 AND MONTH(Pubdate) = 8 AND DAY(Pubdate) = 5"
에코프로에 대한 10월 14일의 뉴스 제목을 알려줘,"SELECT Title, Link, Description, Pubdate FROM NaverNews WHERE (Company = '에코프로')  YEAR(Pubdate) = 2023 AND MONTH(Pubdate) = 10 AND DAY(Pubdate) = 14"
애플에 대한 7월 22일의 뉴스 제목을 알려줘,"SELECT Title, Link, Description, Pubdate FROM NaverNews WHERE (Company = '애플')  YEAR(Pubdate) = 2023 AND MONTH(Pubdate) = 7 AND DAY(Pubdate) = 22"
JYP의 6월 24일자 뉴스를 알려줘,"SELECT Title, Link, Description, Pubdate FROM NaverNews WHERE (Company = 'JYP')  YEAR(Pubdate) = 2023 AND MONTH(Pubdate) = 6 AND DAY(Pubdate) = 24"
셀트리온헬스케어에서 12월 12일에 발표한 뉴스가 뭐야?,"SELECT Title, Link, Description, Pubdate FROM NaverNews WHERE (Company = '셀트리온헬스케어')  YEAR(Pubdate) = 2023 AND MONTH(Pubdate) = 12 AND DAY(Pubdate) = 12"
에코프로비엠의 3일 전 뉴스 제목을 알려줘,"SELECT Title, Description FROM NaverNews WHERE (Company = '에코프로비엠') AND DATE(Pubdate) = DATE(NOW() - INTERVAL 3 DAY)"
삼성전자에 대한 12월 17일의 뉴스 제목을 알려줘,"SELECT Title, Link, Description, Pubdate FROM NaverNews WHERE (Company = '삼성전자')  YEAR(Pubdate) = 2023 AND MONTH(Pubdate) = 12 AND DAY(Pubdate) = 17"
POSCO홀딩스에 대한 4월 22일의 뉴스 제목을 알려줘,"SELECT Title, Link, Description, Pubdate FROM NaverNews WHERE (Company = 'POSCO홀딩스')  YEAR(Pubdate) = 2023 AND MONTH(Pubdate) = 4 AND DAY(Pubdate) = 22"
현대차의 최신 뉴스 6개를 요약해줘,"SELECT Company, Title, Link, Description, Pubdate FROM NaverNews WHERE (Company = '현대차') order by Pubdate DESC LIMIT 6"
